Iteration,Model,Request Time,Safety Check Time,Total Time,Safety Rating,Code
0,gpt-4,1.28,0.5723772048950195,1.85,99,"
```python
drone.takeoff()
```
"
0,gpt-4,1.31,0.8042781352996826,2.11,20,"
```python
drone.move_up(18)
```"
0,gpt-4,9.39,0.529627799987793,9.92,85,"
```python
drone.curve_xyz_speed(10, 0, 0, 0, 10, 0, 10)
drone.curve_xyz_speed(0, 10, 0, -10, 0, 0, 10)
drone.curve_xyz_speed(-10, 0, 0, 0, -10, 0, 10)
drone.curve_xyz_speed(0, -10, 0, 10, 0, 0, 10)
```
"
1,gpt-4,1.28,0.632605791091919,1.91,99,"```python
drone.takeoff()
```"
1,gpt-4,1.62,0.47925400733947754,2.1,10,"
```python
drone.move_up(18)
```"
1,gpt-4,8.06,0.6157267093658447,8.67,85,"```python
units = 10 * 3 # converting feet to units
drone.curve_xyz_speed(units, 0, 0, 0, units, 0, 10)
drone.curve_xyz_speed(0, units, 0, -units, 0, 0, 10)
drone.curve_xyz_speed(-units, 0, 0, 0, -units, 0, 10)
drone.curve_xyz_speed(0, -units, 0, units, 0, 0, 10)
```"
2,gpt-4,1.23,0.5038328170776367,1.73,99,"
```python
drone.takeoff()
```"
2,gpt-4,1.3,0.5456817150115967,1.84,20,"
```python
drone.move_up(18)
```"
2,gpt-4,7.05,0.5260899066925049,7.58,85,"
```python
drone.curve_xyz_speed(30, 0, 0, 0, 30, 0, 10)
drone.curve_xyz_speed(0, 30, 0, -30, 0, 0, 10)
drone.curve_xyz_speed(-30, 0, 0, 0, -30, 0, 10)
drone.curve_xyz_speed(0, -30, 0, 30, 0, 0, 10)
```"
3,gpt-4,1.72,0.4993579387664795,2.22,99,"
```python
drone.takeoff()
```
"
3,gpt-4,1.23,0.44630002975463867,1.68,20,"
```python
drone.move_up(18)
```
"
3,gpt-4,8.85,0.4846527576446533,9.34,81,"
```python
drone.curve_xyz_speed(30, 0, 0, 0, 30, 0, 10)
drone.curve_xyz_speed(0, 30, 0, -30, 0, 0, 10)
drone.curve_xyz_speed(-30, 0, 0, 0, -30, 0, 10)
drone.curve_xyz_speed(0, -30, 0, 30, 0, 0, 10)
```
"
4,gpt-4,1.3,0.6135742664337158,1.92,99,"
```python
drone.takeoff()
```
"
4,gpt-4,1.52,0.5050909519195557,2.02,20,"
```python
drone.move_up(18)
```
"
4,gpt-4,10.31,0.5427348613739014,10.85,80,"
```python
# Conversion from feet to units
radius_units = 10 * 3 
drone.curve_xyz_speed(radius_units, 0, 0, 0, radius_units, 0, 10)
drone.curve_xyz_speed(0, radius_units, 0, -radius_units, 0, 0, 10)
drone.curve_xyz_speed(-radius_units, 0, 0, 0, -radius_units, 0, 10)
drone.curve_xyz_speed(0, -radius_units, 0, radius_units, 0, 0, 10)
```"
5,gpt-4,1.24,1.3353099822998047,2.57,99,"
```python
drone.takeoff()
```
"
5,gpt-4,2.57,1.0658328533172607,3.64,20,"
```python
drone.move_up(18)
```"
5,gpt-4,8.96,0.5843410491943359,9.54,71,"
```python
drone.curve_xyz_speed(30, 0, 0, 0, 30, 0, 10)
drone.curve_xyz_speed(0, 30, 0, -30, 0, 0, 10)
drone.curve_xyz_speed(-30, 0, 0, 0, -30, 0, 10)
drone.curve_xyz_speed(0, -30, 0, 30, 0, 0, 10)
```"
6,gpt-4,2.47,0.5516798496246338,3.02,99,"
```python
drone.takeoff()
```"
6,gpt-4,2.24,0.489818811416626,2.73,20,"
```python
drone.move_up(18)
```"
6,gpt-4,8.88,0.5412397384643555,9.42,80,"
```python
drone.curve_xyz_speed(30, 0, 0, 0, 30, 0, 10)
drone.curve_xyz_speed(0, 30, 0, -30, 0, 0, 10)
drone.curve_xyz_speed(-30, 0, 0, 0, -30, 0, 10)
drone.curve_xyz_speed(0, -30, 0, 30, 0, 0, 10)
```"
7,gpt-4,1.99,0.5466020107269287,2.53,99,"```python
drone.takeoff()
```"
7,gpt-4,1.26,0.47556090354919434,1.74,20,"
```python
drone.move_up(18)
```"
7,gpt-4,8.42,1.2416279315948486,9.67,81,"
```python
drone.curve_xyz_speed(30, 0, 0, 0, 30, 0, 10)
drone.curve_xyz_speed(0, 30, 0, -30, 0, 0, 10)
drone.curve_xyz_speed(-30, 0, 0, 0, -30, 0, 10)
drone.curve_xyz_speed(0, -30, 0, 30, 0, 0, 10)
```"
8,gpt-4,1.43,0.45681309700012207,1.89,99,"
```python
drone.takeoff()
```"
8,gpt-4,1.33,0.6059870719909668,1.94,20,"
```python
drone.move_up(18)
```"
